id,Opening_code,opening_name,Opening_moves
dmrGSE5L,B20,Sicilian Defense: Bowdler Attack,3
EdgBgzL0,A41,Old Indian Defense,3
MBbbCChu,B21,Sicilian Defense: Smith-Morra Gambit #2,3
JbFacjLX,B32,Sicilian Defense: Franco-Sicilian Variation,6
C8aqJ7wX,C40,King's Knight Opening,3
MDLDX0v7,B20,Sicilian Defense,2
D9NxM2ns,B45,Sicilian Defense: Paulsen Variation |  Normal Variation,9
bdDOt3Ay,A06,Zukertort Opening: Reversed Mexican Defense,3
FemhhNnb,B12,Caro-Kann Defense: Advance Variation,5
dStdaoBv,B21,Sicilian Defense: McDonnell Attack,3
8cw0ROzU,B00,Nimzowitsch Defense: Mikenas Variation,4
TP0I16GS,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
DiA6bC0a,A00,Mieses Opening,1
IxZtWKs1,B44,Sicilian Defense: Paulsen Variation,8
Er5CWA1h,C43,Petrov: Modern Attack,6
a4sUEoII,C61,Ruy Lopez: Bird Variation,6
6xYZMDHT,A46,Indian Game: London System,5
Z3CSBGd0,A45,Paleface Attack,3
Q0GuYyry,A45,Indian Game,2
s2RDz5a9,C40,King's Pawn Game: McConnell Defense,4
cwFWHvpF,D04,Queen's Pawn Game: Colle System,5
rk4DxJ2w,C02,French Defense: Advance Variation |  Euwe Variation,10
btE5xe8p,D35,Queen's Gambit Declined: Harrwitz Attack,7
Ep8ixJBd,C00,French Defense: La Bourdonnais Variation,3
W5sqh5Rc,D02,Queen's Pawn Game: Krause Variation,4
tN4uylH7,C00,French Defense: La Bourdonnais Variation |  Reuter Gambit,6
KqTwgzyE,D02,Queen's Pawn Game: Zukertort Variation,3
MeAbA6iH,D04,Queen's Pawn Game: Colle System,5
DJ2fpuya,C02,French Defense: Advance Variation #2,7
TwSyg5gs,D02,Queen's Pawn Game: Zukertort Variation,3
3cdoYoyn,A40,Horwitz Defense,2
JS6K3t4g,D02,Queen's Pawn Game: Zukertort Variation,3
bjv99Aky,D32,Tarrasch Defense: Schara Gambit,8
zK205VaK,D40,Queen's Gambit Declined: Semi-Tarrasch Defense,8
57stogOR,C44,Ponziani Opening,5
GLsCzkuz,B07,Pirc Defense #4,2
X76L7kAu,C44,Ponziani Opening,5
d9tfl6mC,C41,Philidor Defense #2,4
ySqTTXtT,B10,Caro-Kann Defense,2
4Qm6uRGX,B10,Caro-Kann Defense,2
U331efsy,B10,Caro-Kann Defense,2
BR7CzrC2,A40,Queen's Pawn,1
peqeMUix,B10,Caro-Kann Defense: Breyer Variation,3
BAapWAKS,B12,Caro-Kann Defense,3
kdphfdKm,A00,Sodium Attack,1
rEiap9zj,C01,French Defense: Exchange Variation,5
K2lbWSKk,B01,Scandinavian Defense: Main Line,6
9F7DwInO,B01,Scandinavian Defense,2
rE7XkSTs,B46,Sicilian Defense: Paulsen Variation,10
xmmUUeKk,B27,Sicilian Defense: Hyperaccelerated Dragon,4
0cFxy38E,C55,Italian Game: Anti-Fried Liver Defense,6
yI942cUN,B06,Modern Defense,2
KrwPLve9,B20,Sicilian Defense,2
I215nDQO,C40,King's Pawn Game: McConnell Defense,4
nLRYvkJb,A00,Van't Kruijs Opening,1
hVEMak9d,C57,Italian Game: Two Knights Defense |  Lolli Attack,11
W54TDr43,C50,Italian Game,5
AWRJkslu,B20,Sicilian Defense: Bowdler Attack,3
C0HoGVOS,C42,Russian Game: Urusov Gambit,5
6nd9lCRv,A21,English Opening: King's English Variation |  Reversed Sicilian,3
1cyi9WJb,A10,English Opening: Anglo-Scandinavian Defense,2
4ylXabV1,A22,English Opening: King's English Variation |  Two Knights Variation,4
YQsOYX73,A06,Reti Opening,2
MGZE48Oe,C55,Italian Game: Anti-Fried Liver Defense,6
5wTQ8eft,C41,Philidor Defense #4,6
YCPtfgvx,C51,Italian Game: Evans Gambit,7
YkhMvi1c,B12,Caro-Kann Defense,3
DOSPddy8,C42,Russian Game: Urusov Gambit,5
tdFx5Wpl,A43,Old Benoni Defense,2
shapiH9O,A07,King's Indian Attack: Keres Variation #2,4
wgdX1i72,C50,Four Knights Game: Italian Variation,8
j7ubwxcz,C00,St. George Defense,4
BRrgcEui,A00,Hungarian Opening,1
TcX2VySc,D00,Queen's Pawn Game: Veresov Attack |  Alburt Defense,4
3zvHxRxD,A45,Indian Game,2
uweklWqe,B00,Nimzowitsch Defense: Scandinavian Variation |  Exchange Variation,6
YVJoIqAb,A45,Indian Game,2
MoJv5gz3,C50,Giuoco Piano,6
hUQW6fh6,C50,Italian Game: Schilling-Kostic Gambit,6
qD7mzcUb,B07,Pirc Defense #4,2
YQmlrWQm,A06,Zukertort Opening: Reversed Mexican Defense,3
bmyC1oNK,C55,Italian Game: Two Knights Defense,6
MlnIaVj7,B20,Sicilian Defense: Staunton-Cochrane Variation,3
l6KBTi8H,C62,Ruy Lopez: Steinitz Defense,6
1NtGvS7m,E40,Nimzo-Indian Defense: Normal Line,7
GnareRWj,E20,Nimzo-Indian Defense: Ragozin Variation,8
H08j1pFJ,C62,Ruy Lopez: Steinitz Defense,6
TGTtzwp4,D45,Semi-Slav Defense: Main Line,9
VbxGhjHs,D20,Queen's Gambit Accepted: Old Variation,5
VsfS8T6S,A00,Polish Opening,1
eHTmEe4A,C45,Scotch Game: Potter Variation,9
lQbvYrqG,A22,English Opening: King's English Variation |  Two Knights Variation,4
NWivyayS,D30,Queen's Gambit Declined,4
K5yJfIbC,A06,Nimzowitsch-Larsen Attack,3
5xEtGs7N,A04,Zukertort Opening: Black Mustang Defense,2
FLZSIBJT,A02,Bird Opening: From's Gambit,2
NpKzH9Cq,A04,Zukertort Opening: Arctic Defense,2
Rt9WB32T,A06,Nimzowitsch-Larsen Attack,3
pu1DxLyC,B02,Alekhine Defense: Steiner Variation,7
RUbXRrBV,B00,Owen Defense,2
JCn9C58Z,A80,Dutch Defense,2
Bh2r8XxQ,C65,Ruy Lopez: Berlin Defense #2,6
wfrYkOSL,A85,Dutch Defense: Queen's Knight Variation,5
8l3eqHgJ,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,9
tKYgGdZN,E61,King's Indian Defense,6
buvlc0MT,D34,Tarrasch Defense: Classical Variation |  Advance Variation,18
nw8KmaFH,C67,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8
PUQBs1qo,C11,French Defense: Steinitz Variation |  Boleslavsky Variation,13
pmGIf3vW,E61,King's Indian Defense,6
4BFJugDt,D30,Queen's Gambit Declined,4
jvx4GoJV,E64,King's Indian Defense: Fianchetto Variation |  Yugoslav System |  without Nc3,12
0LuSkMvd,C41,Philidor Defense #2,4
LsKhZR7L,C68,Ruy Lopez: Exchange Variation |  Lutikov Variation,8
i9NfJbkO,C64,Ruy Lopez: Classical Variation,6
QP2WSXTC,C26,Vienna Game: Mieses Variation,5
UVZcrWHB,C65,Ruy Lopez: Berlin Defense #2,6
SmCznocV,C02,French Defense: Advance Variation #2,7
i06nv6to,D30,Queen's Gambit Declined,4
96aH6P7m,D31,Semi-Slav Defense: Accelerated Move Order,6
SWtpB9VZ,A40,Horwitz Defense,2
it1fo5hs,C17,French Defense: Winawer Variation |  Advance Variation #3,8
ssAFGqWj,A22,English Opening: King's English Variation |  Two Knights Variation,4
8nirqto6,C00,French Defense: Horwitz Attack,3
ifNLiAWE,A00,Polish Opening: Czech Defense,4
y2ULmSYR,C02,French Defense: Advance Variation |  Euwe Variation,10
m7AqCdim,C01,French Defense: Exchange Variation,5
LUNpR6gD,D24,Queen's Gambit Accepted: Gunsberg Defense |  Prianishenmo Gambit,13
fIwB14Wv,A40,Modern Defense,2
ibiTs082,A40,Modern Defense,2
lfmrt1pi,C00,French Defense: Knight Variation,3
DQKrc9S8,D12,Slav Defense: Quiet Variation |  Schallopp Defense,8
vZ71MrQn,C00,French Defense: Knight Variation,3
W9LTfNg3,E61,King's Indian Defense: Semi-Classical Variation |  Benoni Variation,12
wMRVrRJT,D45,Semi-Slav Defense: Normal Variation,10
NJJgaKDF,C00,French Defense: Reti-Spielmann Attack,3
1QKRhwcC,C15,French Defense: Winawer Variation |  Alekhine-Maroczy Gambit,7
kjG0f1xE,D20,Queen's Gambit Accepted: Old Variation,5
AIz5WZcZ,D01,Queen's Pawn Game: Chigorin Variation,4
S98fUg6g,A00,Polish Opening: Schiffler-Sokolsky Variation,7
lLIjkHVR,A40,English Defense #2,2
IJUvdKvF,C00,French Defense #2,2
n0z4l6JC,E61,King's Indian Defense: 3.Nc3,5
iHHKUba1,C17,French Defense: Winawer Variation |  Advance Variation,9
WsOtBOyT,D30,Semi-Slav Defense: Quiet Variation,10
CPyD9qyN,C00,French Defense #2,2
OP1lQEF3,A40,Polish Defense,2
eby2jLXi,C00,French Defense: Steinitz Attack,3
iUrH456z,D10,Slav Defense,4
BGjZxy4P,D00,Queen's Pawn Game: Mason Attack,3
ZnWT84zG,E51,Nimzo-Indian Defense: Normal Variation |  Ragozin Variation,10
37xkP5tx,C01,French Defense: Winawer Variation |  Delayed Exchange Variation,7
WanxZylp,E14,Queen's Indian Defense: Spassky System,7
cVG2PICh,D15,Slav Defense: Three Knights Variation,7
oIOWxBo5,A54,Old Indian Defense: Ukrainian Variation,6
ZR6VJ5BF,D31,Semi-Slav Defense: Accelerated Move Order,6
K9lqvH1x,A40,Modern Defense,2
PFE3ua3F,D10,Slav Defense #2,5
1d2x1KiO,A40,Englund Gambit Declined |  Reversed French,3
7kZOioyL,D00,Queen's Pawn Game: Mason Attack,3
K3NM3uHA,A40,Queen's Pawn,1
t5PCTILF,C02,French Defense: Advance Variation |  Nimzowitsch System,7
XdqFMEb2,C00,French Defense: Knight Variation,3
31Dq14bW,A22,English Opening: King's English Variation |  Two Knights Variation,4
lSxP0CT0,C00,French Defense: King's Indian Attack,3
r8YtReBW,D20,Queen's Gambit Accepted,4
KfLcPala,B06,Modern Defense,2
BIdFdbyU,C21,Danish Gambit Accepted |  Copenhagen Defense,10
vmRXjEDG,C68,Ruy Lopez: Exchange Variation |  Lutikov Variation,8
ctHTfKhg,C46,Four Knights Game,6
gpBefNlG,C21,Danish Gambit,5
nzEmyraz,C40,King's Pawn Game: Damiano Defense,4
NmmsgpHh,C41,Philidor Defense #2,4
ZocN5C7j,C41,Philidor Defense,5
NR5u82W9,D04,Queen's Pawn Game: Colle System,5
TQf96SXo,A40,Modern Defense,2
MOMkoAtu,C41,Philidor Defense: Exchange Variation,8
tNPVjhEt,D00,Queen's Pawn Game #2,3
8cckHCWc,C41,Philidor Defense #3,5
XDzpUsOi,C41,Philidor Defense #3,5
kon4VKdn,C30,King's Gambit,3
iWpcHjNu,D00,Queen's Pawn Game #2,3
uRizfqc3,A80,Dutch Defense,2
pOxHlHeQ,C41,Philidor Defense #2,4
OeRZW6Db,D00,Queen's Pawn Game #2,3
OhSs2jUn,C41,Philidor Defense,5
23KyUzkX,C23,Bishop's Opening,3
YPqgM25m,D04,Queen's Pawn Game: Colle System,5
BO7hKPSE,D04,Queen's Pawn Game: Colle System,5
ITvll7l7,C41,Philidor Defense #2,4
q9CmFD5F,C41,Philidor Defense #2,4
Vvyhb9TR,D04,Queen's Pawn Game: Colle System,5
4FuNNPxb,D00,Queen's Pawn Game #2,3
JyxWJtuK,C41,Philidor Defense #2,4
GDbWrBhj,C23,Bishop's Opening,3
Jtzjmzdn,C41,Philidor Defense #3,5
OW36e3Ps,D00,Queen's Pawn Game #2,3
Ac7yS6qo,D05,Colle System,6
4LBWJH7x,A40,Modern Defense,2
y1Af1ryy,C41,Philidor Defense #2,4
ouej7rrW,C34,King's Gambit Accepted |  Fischer Defense,6
Clxnets5,C41,Philidor Defense #3,5
Wgy3Pquo,D05,Colle System #2,7
6deqazQ7,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
1XkghDSq,A40,Horwitz Defense,2
FVpeSEtr,C41,Philidor Defense #2,4
npWlgyyh,C41,Philidor Defense,5
v7GGeg1P,C41,Philidor Defense #2,4
HjIxNNmQ,D05,Colle System #2,7
CV6D5Gub,D00,Queen's Pawn Game #2,3
UtCCWnSe,C41,Philidor Defense #2,4
AobpJQO6,C20,Portuguese Opening,3
TXQMBe0O,A00,Mieses Opening,1
81EKDcCx,B07,Pirc Defense #4,2
e5WooPHX,B02,Alekhine Defense: Maroczy Variation,3
NhNB0Ryb,A45,Indian Game,2
UhYZVLIM,B01,Scandinavian Defense: Main Line |  Mieses Variation,8
62kPmSZn,D15,Slav Defense: Alekhine Variation,9
OlNukGq8,B10,Caro-Kann Defense,2
k5E27pxY,B21,Sicilian Defense: McDonnell Attack,3
MlO9BkYK,B50,Sicilian Defense,4
GK1U2WTp,C41,Philidor Defense: Nimzowitsch Variation |  Klein Variation,7
vjfOqzW4,A30,English Opening: Symmetrical Variation,2
DkCMuvVB,B50,Sicilian Defense,4
Wcd49LsM,B02,Alekhine Defense,2
cioc0wSl,D12,Slav Defense: Quiet Variation |  Schallopp Defense,8
5F2UfE2f,A38,English Opening: Symmetrical Variation |  Full Symmetry Line,10
oZ178WSt,A15,English Opening: Anglo-Indian Defense,2
R4ll8FCR,B50,Sicilian Defense,4
Ewoknaml,B50,Sicilian Defense,4
I1PIQJOO,B50,Sicilian Defense,4
NDVz7YU4,A20,English Opening: King's English Variation,2
py9Fv239,B94,Sicilian Defense: Najdorf Variation,11
tK79MIQY,B90,Sicilian Defense: Najdorf Variation,10
9TrkMBOo,A10,English Opening: Great Snake Variation,2
A5CB7eZO,A20,English Opening: King's English Variation,2
Bhm9FhLE,A00,Hungarian Opening: Indian Defense,2
oNaDs5A2,A20,English Opening: King's English Variation,2
BdfcFJrw,B22,Sicilian Defense: Alapin Variation,3
a7lybXHX,B57,Sicilian Defense: Sozin |  not Scheveningen,11
yxbOEr0V,D45,Semi-Slav Defense: Main Line,9
gR5pihZM,A20,English Opening: King's English Variation,2
hQGUKEFb,B20,Sicilian Defense: Staunton-Cochrane Variation,3
LZnk7ewF,A15,English Opening: Anglo-Indian Defense,2
tCCTuCwb,A20,English Opening: King's English Variation,2
QjzhcvH3,A20,English Opening: King's English Variation,2
5ErkpB7G,B21,Sicilian Defense: Smith-Morra Gambit #2,3
koUCYT4L,B90,Sicilian Defense: Najdorf Variation,10
b5Ad14zh,D00,Queen's Pawn Game: Mason Attack,3
VGPQKtbL,B90,Sicilian Defense: Najdorf Variation,10
CDglUpUj,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
5ssTjWwL,A20,English Opening: King's English Variation,2
c3LJcLxf,D17,Slav Defense: Czech Variation,10
pOSZ0BeW,A20,English Opening: King's English Variation,2
Lb2CesSR,A15,English Opening: Anglo-Indian Defense,2
jdzm5Rm8,D00,Queen's Pawn Game: Mason Attack,3
dJ9spTkW,A13,English Opening: Agincourt Defense,2
GviW37Ir,B07,Pirc Defense #4,2
x8yRuYWy,A06,Zukertort Opening: Tennison Gambit,3
FO4GG6ui,C00,French Defense: Steinitz Attack,3
nPL6OKh4,B07,King's Pawn Game: Maroczy Defense,4
QVnnoPWC,B00,Caro-Kann Defense: Hillbilly Attack,3
nInyUy15,B07,Pirc Defense #5,3
Gks3rAWp,C20,King's Pawn Game: King's Head Opening #2,3
8DjzMpSN,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation,4
pLNKg8Gt,B30,Sicilian Defense: Old Sicilian,4
gJrJZ8oR,C72,Ruy Lopez: Morphy Defense |  Modern Steinitz Defense,9
AIX0ARvn,C47,Four Knights Game: Italian Variation |  Noa Gambit,9
CAkAnOio,C31,King's Gambit |  Falkbeer Countergambit |  Nimzowitsch-Marshall Countergambit,6
gh5nVY5v,A00,Gedult's Opening,1
84yCJ5UC,B06,Modern Defense: Bishop Attack,5
MHS8nIkb,A40,Englund Gambit,2
F9z56bdU,C69,Ruy Lopez: Exchange Variation |  Normal Variation,9
GNPnqgHm,A45,Indian Game,2
x7xdI6pJ,A10,English Opening: Great Snake Variation,2
yYjngtYf,A00,Kadas Opening,1
EDTgBNXJ,B20,Sicilian Defense: Bowdler Attack,3
LDzlqlwv,C45,Scotch Game: Classical Variation,8
LogMn5Aq,B06,Robatsch (Modern) Defense,4
YhPACEz6,A02,Bird Opening: From's Gambit,2
ovA5Tefi,A00,Saragossa Opening,1
8tRUGjdl,C45,Scotch Game: Horwitz Attack,9
H0N8lwVW,B00,St. George Defense,2
buRu3sCi,D00,Queen's Pawn Game,2
kVshN1ph,C20,King's Pawn Game: Wayward Queen Attack,3
gOJeEXXl,C20,English Opening: The Whale,3
glchZBp6,D00,Queen's Pawn Game,2
iZbqzAQZ,C30,King's Gambit,3
LLLZfhJW,C41,Philidor Defense,5
KqzrrxAW,C21,King's Pawn Game: Beyer Gambit,4
AinWnhEI,C20,King's Pawn Game: Leonardis Variation,3
zjeE52lZ,C40,Elephant Gambit,4
3STx4QDX,C40,King's Pawn Game: Busch-Gass Gambit,4
w6I2k8UU,C20,King's Pawn Game,2
HlO3gmxy,B01,Scandinavian Defense,2
c1Hig87b,A40,Englund Gambit Declined |  Reversed Alekhine,3
heTz3GrU,A40,Englund Gambit Declined |  Reversed French,3
H8dFiGyk,B02,Alekhine Defense,2
ST7NjQkO,C20,King's Pawn Game: Napoleon Attack,3
QGplkbBR,C20,English Opening: The Whale,3
wVnUhP3z,C20,King's Pawn Game: Napoleon Attack,3
dObnu7Vx,C40,King's Knight Opening,3
gf11SyaW,A45,Indian Game,2
YBVW09FH,A40,Horwitz Defense,2
e5cu9AYX,D07,Queen's Gambit Refused: Chigorin Defense #2,5
q8gam2x4,A40,Englund Gambit,2
t9zYGxsG,C46,Four Knights Game: Italian Variation,7
qrIvRES7,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
tWkX50Z5,D02,Queen's Pawn Game: Anti-Torre,4
kx2pPDyO,B50,Sicilian Defense,4
88cl0uaw,A00,Van't Kruijs Opening,1
8SaQeVTi,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
3JYPXraO,C20,King's Pawn Game: Leonardis Variation,3
6Ox1yIaC,C41,Philidor Defense #3,5
RYksERyd,C50,Italian Game: Schilling-Kostic Gambit,6
Uep3ZGfD,B00,King's Pawn,1
T7coOpIf,B10,Caro-Kann Defense,2
QuXpukEi,C44,Scotch Game,5
8ijhG8me,C46,Four Knights Game: Italian Variation,7
CkExccMX,D00,Queen's Pawn Game #2,3
kgSDfYw2,B10,Caro-Kann Defense,2
ouQ1bbdz,C20,King's Pawn Game: Wayward Queen Attack,3
qdRrMdNc,C00,French Defense: Knight Variation,3
1TeDR2ja,A00,Kadas Opening,1
kj9H0Xnm,B20,Sicilian Defense,2
9DDP6azK,B10,Caro-Kann Defense,2
A1veitvW,C44,Scotch Game,5
uK0G1Kvl,B06,Modern Defense,2
MNs1u5iJ,D00,Queen's Pawn Game: Veresov Attack |  Alburt Defense,4
geaOL2nm,A45,Indian Game,2
34T7qaFf,D02,Queen's Pawn Game: Chigorin Variation,4
BrHxa54u,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
L57eq2T3,D00,Queen's Pawn Game: Mason Attack,3
q37svKav,B00,Nimzowitsch Defense: Scandinavian Variation |  Exchange Variation,6
F14iZsAt,B02,Alekhine Defense: John Tracy Gambit,3
cX7tWS2B,C20,Bishop's Opening: Boi Variation,4
2SfHysoH,B00,Nimzowitsch Defense: Kennedy Variation,4
nIEqOnjg,C42,Russian Game: Three Knights Game,5
QOLfNOXq,B01,Scandinavian Defense,2
7vAAq531,C46,Three Knights Opening: Winawer Defense,6
qPO0bV2n,B00,St. George Defense,2
kFYRKAV4,C21,King's Pawn Game: Beyer Gambit,4
mslouKdB,C40,King's Pawn Game: Damiano Defense,4
vOP4q9A5,C50,Italian Game,5
YEMv4R7M,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
t7nMkL7F,C41,Philidor Defense #2,4
pWuqdUPK,A02,Bird Opening: From's Gambit,2
I3ruVaOJ,C41,Philidor Defense: Hanham Variation,6
69Yks3rQ,A15,English Opening: Anglo-Indian Defense |  Scandinavian Defense,4
aaNfTHQO,A52,Budapest Defense: Adler Variation,7
goZsiIMb,C41,Philidor Defense: Exchange Variation,8
kz5aQune,A20,English Opening: King's English Variation,2
P4PlH6cy,B32,Sicilian Defense: Open #3,7
oXMxzVTZ,B20,Sicilian Defense: Bowdler Attack,3
BDrEjHJy,B06,Robatsch (Modern) Defense,4
StSQhWtI,C42,Petrov's Defense #2,5
KhTNxTvt,C02,French Defense: Advance Variation |  Nimzowitsch System,7
KveUFQCF,B01,Scandinavian Defense: Main Line,6
Fv5VJIe4,D00,Queen's Pawn Opening: Veresov |  Richter Attack,5
tqwK4Jn7,B21,Sicilian Defense: McDonnell Attack,3
7loQGtf5,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
BfmWE0ft,A40,Queen's Pawn,1
dFRyR3eo,C40,Elephant Gambit,4
CFJbuSeS,C00,French Defense: Two Knights Variation,5
f4wA8Rns,E00,Indian Game: East Indian Defense,4
dTnXLPiF,C42,Russian Game: Cozio (Lasker) Attack,9
KC1GIEm1,C00,French Defense: Two Knights Variation,5
lhNEFQvt,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
ZKDBy7y7,A45,Indian Game: Tartakower Attack,3
BHRqWkBC,C40,King's Pawn Game: Damiano Defense,4
s002TNYl,C44,Ponziani Opening: Jaenisch Counterattack,6
ZwAhNThL,C20,Portuguese Opening: Portuguese Gambit,5
ktvzJfrt,B01,Scandinavian Defense,2
2vVgM3vD,C40,Latvian Gambit,4
msB0lWql,C21,Danish Gambit Accepted |  Classical Defense,10
DPMbZQay,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
UNV21AAQ,D00,Queen's Pawn Game,2
e0ufZTkH,A10,English Opening: Anglo-Lithuanian Variation,2
TZ6CmLGQ,C20,English Opening: The Whale,3
rUysj2Pj,C20,King's Pawn Game: Leonardis Variation,3
KVTrg3LI,A53,Old Indian: Czech Variation |  with Nc3,6
AXAoRPQJ,C46,Three Knights Opening,5
WJK8UTLn,C20,English Opening: The Whale,3
OpH9FEaz,B30,Sicilian Defense: Old Sicilian,4
lANk7UYJ,D00,Queen's Pawn Opening: Veresov |  Richter Attack,5
sxjj9iMf,C21,Center Game,5
1hBrR8db,D00,Queen's Pawn Game,2
D2CXDuyE,B30,Sicilian Defense: Old Sicilian,4
PRnX4pVs,A21,English Opening: King's English Variation |  Reversed Sicilian,3
euG2BV76,A45,Indian Game,2
Bw6vpy6q,B20,Sicilian Defense: Bowdler Attack,3
n2KWaP92,B30,Sicilian Defense: Old Sicilian,4
dN2GeRyT,C41,Philidor Defense,5
8hFEDPh8,A34,English Opening: Symmetrical Variation |  Normal Variation,3
i5ecUxVn,A49,Indian Game: Przepiorka Variation,5
WjEE2oJD,D02,Queen's Pawn Game: Chigorin Variation,4
pOr5lQcK,D60,Queen's Gambit Declined: Orthodox Defense |  Botvinnik Variation,13
dYKfjGiq,A15,English Opening: Anglo-Indian Defense,2
1Mn64gHN,D00,Queen's Pawn Game,2
LlwhmVao,D11,Slav Defense: Modern Line,5
9nyesv7n,D51,Queen's Gambit Declined: Modern |  Knight Defense #3,9
jStyZ6Gl,D00,Queen's Pawn Game: Mason Attack,3
i3y29Bbm,D06,Queen's Gambit,3
iK3bZnOm,C01,French Defense: Exchange Variation,5
1oBZS53S,B00,Owen Defense,2
DBUCextO,B07,Rat Defense: Antal Defense,4
xDfIeaFd,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
rgAkQ6Tk,B50,Sicilian Defense,4
fFzDez2g,B07,Pirc Defense #4,2
euquQr0W,A00,Kadas Opening,1
NE3p3RVc,A00,Hungarian Opening,1
pHhAiE0g,A00,Grob Opening,1
N2A7m4wX,A06,Zukertort Opening: Tennison Gambit,3
DxJHSonf,A00,Mieses Opening: Reversed Rat,2
fCucsIsq,B34,Sicilian Defense: Accelerated Dragon |  Exchange Variation,9
cp9RMnlZ,C40,Elephant Gambit: Maroczy Gambit,6
31W1gOBg,D31,Queen's Gambit Declined: Queen's Knight Variation,5
HgVWPzyb,C10,French Defense: Marshall Variation,6
Ms2ytMQn,B32,Sicilian Defense: Loewenthal Variation,8
0KNwyYKl,A00,Van Geet Opening: Dunst-Perrenet Gambit,5
TaFfSpSi,B21,Sicilian Defense: Smith-Morra Gambit #2,3
wh92jQcG,C40,Elephant Gambit: Paulsen Countergambit,6
OdOeQ6kE,C02,French Defense: Advance Variation #3,5
9a4AzHTj,C42,Russian Game: Urusov Gambit,5
j9SgenMn,B21,Sicilian Defense: Smith-Morra Gambit #2,3
Nc0NTpxq,B36,Sicilian Defense: Accelerated Dragon,8
7css420H,C50,Italian Game: Hungarian Defense,6
twY5DV18,C42,Petrov's Defense #2,5
yq6jbw2f,C68,Ruy Lopez: Exchange Variation |  Keres Variation,9
cOhBFfXt,B50,Sicilian Defense,4
ENfuXX3E,C39,King's Gambit Accepted |  Kieseritzky Gambit |  Berlin Defense,10
2U2m1d5t,C48,Four Knights Game: Spanish Variation |  Classical Variation,8
oT3MKGTs,C46,Four Knights Game,6
doLbC5CO,C00,French Defense: Knight Variation,3
wSN0CPmZ,C00,French Defense: Normal Variation,3
Gfruw6cf,C33,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,6
Kbr0LZqz,C42,Petrov's Defense #2,5
cGY5nYFK,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
p4AqPMYy,C20,King's Pawn Game,2
gKIBLlL9,A21,English Opening: King's English Variation |  Reversed Sicilian,3
B1VhzwgW,C20,King's Pawn Game,2
252avnCA,C21,Center Game #2,3
tTUlMt6V,B00,Nimzowitsch Defense,2
xzZtDtdE,B07,Pirc Defense #4,2
eX8kBW5b,A04,Zukertort Opening: Ross Gambit,2
hW6ytcHS,A40,Englund Gambit,2
O74nXEwi,C20,King's Pawn Game,2
sDwwUYKn,A40,Englund Gambit Complex Declined,3
cNd3LPiZ,C00,French Defense #2,2
x3YGS2T3,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
Z7GgUm8d,D10,Slav Defense #2,5
OfX3KONl,C20,King's Pawn Game,2
idDCeMGQ,C40,King's Knight Opening,3
q5QHHpOD,A40,Modern Defense,2
rr5M6NGq,A00,Hungarian Opening,1
TlmUott6,A40,Modern Defense,2
ipDONI31,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
syUjajVl,D20,Queen's Gambit Accepted: Old Variation,5
XHk0Q6Bq,E61,King's Indian Defense,6
7WmI4AM3,D00,Queen's Pawn Game,2
uxEOKls1,A40,English Defense #2,2
RUEvsTO6,B01,Scandinavian Defense,2
ECNHzg2K,D10,Slav Defense #3,6
urwNWm0q,D10,Slav Defense #2,5
d72Ppx8e,C00,French Defense #2,2
u3osolwJ,A40,Horwitz Defense,2
5n7zouwX,A45,Indian Game,2
cjKRwUtv,C41,Philidor Defense #2,4
LZHK9LOC,A40,Horwitz Defense,2
zC45BRVK,C41,Philidor Defense #2,4
vJbbQgy1,C22,Center Game: Normal Variation,6
mcKJ955J,B02,Alekhine Defense: Scandinavian Variation,4
GInlX3ki,B02,Alekhine Defense: Mokele Mbembe,4
3R2xtUm9,C20,King's Pawn Game: Wayward Queen Attack,3
k6x1x20I,D37,Queen's Gambit Declined: Harrwitz Attack |  Orthodox Defense,12
Un8pJ2n1,A65,Benoni Defense: King's Pawn Line,11
hvBlnh5Y,B22,Sicilian Defense: Alapin Variation |  Smith-Morra Declined,8
OPzeKLo0,B33,Sicilian Defense: Lasker-Pelikan Variation,10
jBociXkr,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
ZK56V9x5,C83,Ruy Lopez: Open Variations |  Classical Defense,18
5DsE7SPq,A04,Reti Opening,1
xF6uPb6c,B07,Pirc Defense,4
7N4lhSVW,C51,Italian Game: Evans Gambit |  Anderssen Variation,10
