id,increment_code,Start_on,End_on
XwhSdYKm,10+2,1491660000000.0,1491660000000.0
q3i3qvvf,25+0,1458120000000.0,1458120000000.0
NFrQStzV,10+2,1458120000000.0,1458120000000.0
kMzO5tNx,10+0,1458120000000.0,1458120000000.0
9uISXGeS,10+0,1458120000000.0,1458120000000.0
x9WDuYjw,5+10,1457590000000.0,1457590000000.0
foSnaQwc,5+5,1457590000000.0,1457590000000.0
vRkz8phQ,25+3,1476550000000.0,1476550000000.0
RWpvKrKD,25+3,1476550000000.0,1476550000000.0
8Ob5UoS9,25+3,1476550000000.0,1476550000000.0
TGaagpWE,25+3,1476550000000.0,1476550000000.0
wgu8Oisq,25+3,1476480000000.0,1476480000000.0
ozceXJFl,25+3,1476480000000.0,1476480000000.0
fh4TPeBQ,25+3,1476410000000.0,1476410000000.0
jFIsgpZM,25+3,1476410000000.0,1476410000000.0
izh1eWxg,30+5,1476230000000.0,1476230000000.0
7H5KigF4,20+3,1476030000000.0,1476030000000.0
vSENSIos,20+3,1464880000000.0,1464880000000.0
fOjcw1qJ,20+3,1464200000000.0,1464210000000.0
InSwV99D,20+3,1463160000000.0,1463160000000.0
atxNHjeh,20+3,1463070000000.0,1463070000000.0
FgkRqlAE,20+3,1462920000000.0,1462920000000.0
rh3SPH5A,20+3,1462920000000.0,1462920000000.0
PKj8s11H,20+3,1462890000000.0,1462900000000.0
ycmSydUA,20+3,1462890000000.0,1462890000000.0
fZvxb855,20+3,1462120000000.0,1462130000000.0
DxB8t15W,20+3,1462030000000.0,1462030000000.0
xEyxYogh,20+3,1461960000000.0,1461960000000.0
i4TXEW5Q,20+3,1461630000000.0,1461640000000.0
2hZLVPEJ,20+3,1461620000000.0,1461620000000.0
sJ5ajbHL,20+3,1461290000000.0,1461290000000.0
a8cLJozP,20+3,1461270000000.0,1461280000000.0
dNv90S7K,20+3,1461270000000.0,1461270000000.0
DOS7yETL,20+3,1461240000000.0,1461240000000.0
VuUqrRD7,20+3,1461200000000.0,1461210000000.0
k7t5Saka,20+3,1461110000000.0,1461120000000.0
UnjCPtIE,20+3,1460990000000.0,1461000000000.0
y1JMAG40,20+3,1460920000000.0,1460920000000.0
VdQFdHSj,20+3,1460840000000.0,1460850000000.0
FyrWLEm0,20+3,1460830000000.0,1460830000000.0
X49HDQxo,20+5,1460760000000.0,1460760000000.0
1gHRq2il,20+3,1460670000000.0,1460670000000.0
nLgcdnhg,20+3,1460640000000.0,1460640000000.0
9o2K8tQf,20+3,1460590000000.0,1460590000000.0
aRN4DINX,20+3,1460590000000.0,1460590000000.0
3qbD8DPO,20+3,1460570000000.0,1460570000000.0
um2ho6V1,20+3,1460570000000.0,1460570000000.0
S3sRxcvL,20+3,1460500000000.0,1460500000000.0
kobZaV77,20+3,1460300000000.0,1460310000000.0
FOzRwGEN,8+0,1462400000000.0,1462400000000.0
pTHtjlqb,8+0,1462400000000.0,1462400000000.0
66Hs0BxK,10+0,1460060000000.0,1460060000000.0
jz6pSENJ,10+0,1460060000000.0,1460060000000.0
j57SWUC4,10+0,1459810000000.0,1459810000000.0
jWyV8cMm,10+0,1459810000000.0,1459810000000.0
pLwfqB1G,10+0,1459810000000.0,1459810000000.0
0mkVfuYL,10+0,1459460000000.0,1459460000000.0
0EdAmqZW,15+0,1459200000000.0,1459200000000.0
sw6Nlw3m,15+0,1459200000000.0,1459200000000.0
9rz8txms,10+0,1458080000000.0,1458080000000.0
2qbuFca1,20+0,1504210000000.0,1504210000000.0
uo2WmrNP,10+5,1504210000000.0,1504210000000.0
5lmqe0aT,10+3,1456970000000.0,1456980000000.0
aF7QGYoS,10+3,1456970000000.0,1456970000000.0
uIiKJVXM,10+3,1456950000000.0,1456950000000.0
g6rfJj2e,10+3,1456860000000.0,1456860000000.0
6mct9bG3,10+5,1456840000000.0,1456840000000.0
CvlnY92d,10+3,1456790000000.0,1456790000000.0
OkQVUZnh,30+0,1456780000000.0,1456780000000.0
ikpXZrS9,10+3,1456770000000.0,1456770000000.0
un51ZTd9,10+2,1456760000000.0,1456760000000.0
nFVu86Dk,25+0,1456750000000.0,1456750000000.0
UVynrugG,10+2,1456750000000.0,1456750000000.0
jzsi9Vxn,8+0,1456710000000.0,1456710000000.0
09xFi1vZ,20+0,1456680000000.0,1456680000000.0
TI6CzUp1,10+0,1456670000000.0,1456670000000.0
PiqtKqY9,10+2,1456670000000.0,1456670000000.0
8YqEhCnO,10+0,1466560000000.0,1466560000000.0
pPRLXuGK,10+0,1463350000000.0,1463350000000.0
K7d691HL,10+0,1462670000000.0,1462670000000.0
brHNZCet,10+0,1461810000000.0,1461810000000.0
N25ppiIR,10+0,1461530000000.0,1461530000000.0
3cyUVrhn,10+0,1461530000000.0,1461530000000.0
D44CKaUd,10+0,1455340000000.0,1455340000000.0
Zxf736Tp,10+3,1455250000000.0,1455250000000.0
bljrotq7,5+10,1455250000000.0,1455250000000.0
u3L5cZgL,15+15,1504110000000.0,1504110000000.0
BcehrrJr,15+15,1504040000000.0,1504040000000.0
VOooXmA3,15+15,1504030000000.0,1504030000000.0
YCRbhsw4,15+15,1503940000000.0,1503940000000.0
7yCsLqnd,15+15,1503610000000.0,1503610000000.0
6FDJ2Kmi,15+15,1503510000000.0,1503510000000.0
CnSku0H1,2+10,1501030000000.0,1501030000000.0
toVqDBGO,5+10,1455060000000.0,1455060000000.0
emSHWbCo,5+10,1455050000000.0,1455060000000.0
bwOMZMTM,5+8,1454620000000.0,1454630000000.0
EBAZeafV,20+3,1454620000000.0,1454620000000.0
klpOz48E,5+10,1454020000000.0,1454020000000.0
Wv6NzIC5,30+8,1453930000000.0,1453930000000.0
oFmbwfWW,5+10,1453850000000.0,1453850000000.0
UyM93Q3c,11+10,1503960000000.0,1503960000000.0
8h1ZdMus,11+10,1503960000000.0,1503960000000.0
ecCUMZCo,15+15,1503880000000.0,1503880000000.0
3NyrG7Qp,15+15,1503880000000.0,1503880000000.0
CRtUgeNG,10+15,1503870000000.0,1503870000000.0
6Eu2GURG,8+8,1503830000000.0,1503830000000.0
FN9G9i3J,10+5,1503820000000.0,1503830000000.0
VlU6tKkF,1+19,1467330000000.0,1467340000000.0
JXrH9E6Q,1+19,1467330000000.0,1467330000000.0
UzK55lrM,15+10,1466450000000.0,1466450000000.0
dowrYp3s,15+15,1463760000000.0,1463770000000.0
7NaRbrlA,10+5,1463760000000.0,1463760000000.0
nqzw4ong,25+5,1456160000000.0,1456160000000.0
i58SKQVw,40+60,1455140000000.0,1455150000000.0
86B2yzLA,120+0,1455130000000.0,1455130000000.0
3h6A8XAi,15+0,1455120000000.0,1455130000000.0
vC2ZHOhe,60+0,1455120000000.0,1455120000000.0
mrNOpD5C,9+5,1455120000000.0,1455120000000.0
I5FbNn5o,15+7,1455120000000.0,1455120000000.0
3hCqoDif,11+11,1455120000000.0,1455120000000.0
IMyqf8O6,30+9,1455120000000.0,1455120000000.0
9bsFtjkb,30+9,1455110000000.0,1455120000000.0
glXTptxM,13+0,1455110000000.0,1455110000000.0
XWnrSf7z,14+0,1455110000000.0,1455110000000.0
kyq4VRd7,14+0,1455110000000.0,1455110000000.0
BrymSHwW,14+0,1455110000000.0,1455110000000.0
c2q81sXi,14+0,1455110000000.0,1455110000000.0
onOXtg8y,5+20,1455110000000.0,1455110000000.0
ZPCQzqJQ,180+0,1455110000000.0,1455110000000.0
oTAbuzhb,60+5,1455110000000.0,1455110000000.0
ARwCprA4,15+10,1455110000000.0,1455110000000.0
dfUEHFAv,60+0,1455110000000.0,1455110000000.0
bvEPtMim,60+0,1455110000000.0,1455110000000.0
Wx0fd1NI,20+5,1455060000000.0,1455060000000.0
HXoYgqVr,20+5,1455050000000.0,1455060000000.0
OnWpsJCx,180+0,1455050000000.0,1455050000000.0
RzcEeUCp,60+0,1454980000000.0,1454980000000.0
OTOZg0z5,60+0,1454970000000.0,1454980000000.0
LcptRwMY,15+0,1454940000000.0,1454940000000.0
HEEzH7sB,7+35,1454940000000.0,1454940000000.0
Y74Zg2A2,7+35,1454940000000.0,1454940000000.0
ouADHkUk,16+10,1454940000000.0,1454940000000.0
eoPFccWd,15+5,1454890000000.0,1454890000000.0
N7WeIqUb,25+0,1454850000000.0,1454850000000.0
ATaUGRev,5+8,1454950000000.0,1454950000000.0
KTgEAGkT,5+8,1454950000000.0,1454950000000.0
eXnpeKLs,5+8,1454940000000.0,1454940000000.0
pZSiSiS9,5+8,1454940000000.0,1454940000000.0
wlmlDVD1,5+8,1454880000000.0,1454880000000.0
p62Rlx11,9+17,1407930000000.0,1407940000000.0
0sZPkUPL,9+17,1407930000000.0,1407930000000.0
L5Fsi5vf,2+10,1407880000000.0,1407880000000.0
r45jGqaj,10+10,1407880000000.0,1407880000000.0
cg8n094x,10+10,1407880000000.0,1407880000000.0
6CIZ0IkM,15+2,1454800000000.0,1454800000000.0
sZZPYmsS,40+10,1454800000000.0,1454800000000.0
dF0DIm4P,10+0,1454800000000.0,1454800000000.0
AhL3ezF1,10+0,1454800000000.0,1454800000000.0
Ev2V6lc9,15+2,1454800000000.0,1454800000000.0
OTpEjib9,30+10,1454800000000.0,1454800000000.0
hkkLApVi,7+3,1454800000000.0,1454800000000.0
hqe8otnu,7+3,1454800000000.0,1454800000000.0
ptk23P17,10+10,1454800000000.0,1454800000000.0
WtEenWvM,10+0,1500640000000.0,1500640000000.0
E8Wvq1k4,10+0,1500630000000.0,1500630000000.0
Wt2JZmTJ,10+0,1500630000000.0,1500630000000.0
kCuv6768,10+0,1500600000000.0,1500600000000.0
TNYLPHQW,10+0,1500590000000.0,1500590000000.0
gjgsuuft,10+0,1500570000000.0,1500570000000.0
ShrGLi79,10+0,1500570000000.0,1500570000000.0
1IxL2ePi,10+0,1500550000000.0,1500560000000.0
dn5EoEzS,10+0,1500550000000.0,1500550000000.0
vvcxPJA2,10+0,1500550000000.0,1500550000000.0
HZVio7jY,10+0,1500520000000.0,1500520000000.0
WeRnOFes,10+0,1500490000000.0,1500490000000.0
nRUTyx0m,10+0,1500490000000.0,1500490000000.0
OFXIXFIk,10+0,1500480000000.0,1500480000000.0
urWwvItl,10+0,1500480000000.0,1500480000000.0
zd5p6Biq,10+0,1500470000000.0,1500470000000.0
jIam1CPA,10+0,1500470000000.0,1500470000000.0
SZB16KyN,10+0,1500470000000.0,1500470000000.0
3zPdO0ee,10+0,1500470000000.0,1500470000000.0
qHLYFK5b,10+0,1500470000000.0,1500470000000.0
HN2eTv6l,10+0,1500440000000.0,1500440000000.0
19TT4sOw,10+0,1500430000000.0,1500440000000.0
ATb4pZdo,10+0,1500430000000.0,1500430000000.0
e0GBeUwW,10+0,1500430000000.0,1500430000000.0
NrrjmNJ2,10+0,1500430000000.0,1500430000000.0
KkSRbUPQ,10+0,1500430000000.0,1500430000000.0
nG0H6mnr,10+0,1500430000000.0,1500430000000.0
10n7m2Yb,10+0,1500390000000.0,1500390000000.0
L75z6rNu,10+0,1500390000000.0,1500390000000.0
1KRUjwfk,10+0,1500300000000.0,1500310000000.0
HOBJLqgZ,10+0,1500300000000.0,1500300000000.0
lwiI674Z,10+0,1500250000000.0,1500250000000.0
XJEo8eAc,10+0,1500240000000.0,1500240000000.0
ccBqPTck,10+0,1500220000000.0,1500220000000.0
ZytLJjpW,10+0,1500220000000.0,1500220000000.0
Qp6HUC6i,10+0,1500210000000.0,1500210000000.0
sIub43Gy,10+0,1500160000000.0,1500160000000.0
YZ8SFytU,10+0,1500160000000.0,1500160000000.0
tOqNU3JX,10+0,1500160000000.0,1500160000000.0
p7wXmHUk,10+0,1500160000000.0,1500160000000.0
3R0FTYSJ,10+0,1500150000000.0,1500150000000.0
ue19ST3i,10+0,1500140000000.0,1500140000000.0
h4pZriXb,10+0,1500140000000.0,1500140000000.0
bEvA3qPb,15+12,1454720000000.0,1454720000000.0
GtLnX9jb,15+12,1454710000000.0,1454720000000.0
j0WcJgBq,15+12,1454710000000.0,1454710000000.0
yoCbKa3Y,15+12,1454710000000.0,1454710000000.0
r63ZoagW,25+5,1454710000000.0,1454710000000.0
d3gvEdGa,20+2,1454700000000.0,1454700000000.0
BXenULlm,10+0,1486500000000.0,1486500000000.0
CoDTXvDw,10+0,1479850000000.0,1479850000000.0
m1wwFUv2,10+0,1479850000000.0,1479850000000.0
QdOw7qaR,10+0,1479850000000.0,1479850000000.0
M7DtmdOd,10+0,1479850000000.0,1479850000000.0
FuOzm69e,10+0,1479850000000.0,1479850000000.0
1kidbSUe,10+0,1479850000000.0,1479850000000.0
6imiq494,10+0,1479850000000.0,1479850000000.0
Kb9bTRct,7+2,1448910000000.0,1448910000000.0
Dz7254on,5+8,1448900000000.0,1448900000000.0
4FBIVMEA,10+0,1446000000000.0,1446000000000.0
UQRN2glr,10+0,1446000000000.0,1446000000000.0
hIGBtGza,8+0,1445490000000.0,1445490000000.0
vr3SGf5i,5+5,1444200000000.0,1444200000000.0
DWLsTLBc,5+5,1444200000000.0,1444200000000.0
OWg3iF92,5+5,1444200000000.0,1444200000000.0
b61ShR4F,5+5,1444200000000.0,1444200000000.0
F91V7uJN,5+5,1441190000000.0,1441190000000.0
WEUdGqDa,5+8,1441190000000.0,1441190000000.0
QxS42tyQ,10+0,1503430000000.0,1503430000000.0
UjzdHRbB,10+0,1503430000000.0,1503430000000.0
hNChZLFr,10+0,1502830000000.0,1502840000000.0
3CqEsKVE,10+0,1500930000000.0,1500930000000.0
90b8B1iO,10+0,1500930000000.0,1500930000000.0
XcQSU4P9,10+0,1500930000000.0,1500930000000.0
x1Tienfp,10+0,1500930000000.0,1500930000000.0
AcxkGszL,10+0,1500930000000.0,1500930000000.0
KX0uEWJ3,10+0,1499480000000.0,1499480000000.0
lbhBZjdk,10+0,1499480000000.0,1499480000000.0
z3489XFw,10+0,1499480000000.0,1499480000000.0
2TFlm6GA,10+0,1499290000000.0,1499290000000.0
XuQ6l7eu,10+0,1499290000000.0,1499290000000.0
KdNS5igI,10+0,1498850000000.0,1498860000000.0
XE0B1exE,10+0,1498850000000.0,1498850000000.0
7GfUZrwo,10+0,1498850000000.0,1498850000000.0
xtdvNSoe,10+0,1495830000000.0,1495830000000.0
akJMiDuY,10+0,1495830000000.0,1495830000000.0
jsSuL4AK,10+0,1495830000000.0,1495830000000.0
VQYAN5Gg,10+0,1495830000000.0,1495830000000.0
V3saHjrm,10+0,1495830000000.0,1495830000000.0
IsCMIlDI,10+0,1454370000000.0,1454370000000.0
FEAAfDjm,10+0,1454370000000.0,1454370000000.0
Li5JezeR,10+0,1454370000000.0,1454370000000.0
6IXvqxAX,10+0,1454370000000.0,1454370000000.0
J8N5Fzn1,8+10,1453050000000.0,1453050000000.0
cjxoNzmr,14+14,1453050000000.0,1453050000000.0
SlMReQBq,5+10,1453950000000.0,1453950000000.0
BKMLK9ql,10+8,1453950000000.0,1453950000000.0
uucvcf0w,5+10,1453940000000.0,1453950000000.0
zXetrBr9,5+10,1453940000000.0,1453940000000.0
evVDZVmq,5+10,1453940000000.0,1453940000000.0
SXZAsO6r,5+10,1453870000000.0,1453870000000.0
zCWBY9Dv,5+10,1453870000000.0,1453870000000.0
dKGq55SS,5+10,1453870000000.0,1453870000000.0
6lJnVMmg,5+10,1453870000000.0,1453870000000.0
Kdd0MnHr,5+10,1453870000000.0,1453870000000.0
Me9VtBdH,5+10,1453870000000.0,1453870000000.0
UjIGEvQ4,5+10,1453870000000.0,1453870000000.0
CXV0M8Rj,5+10,1453870000000.0,1453870000000.0
zghDtr3B,180+0,1453860000000.0,1453860000000.0
Y4ufhSVs,5+10,1453860000000.0,1453860000000.0
Jei2FweC,5+10,1453860000000.0,1453860000000.0
PuAM0GwH,5+10,1453860000000.0,1453860000000.0
WgfeDCYW,5+10,1453860000000.0,1453860000000.0
RJ6zKzhj,5+10,1453860000000.0,1453860000000.0
3CT3DTDO,5+10,1453860000000.0,1453860000000.0
hPj7iyMI,5+10,1453860000000.0,1453860000000.0
3fBpCNuA,5+10,1453860000000.0,1453860000000.0
gLPho3t8,5+10,1453860000000.0,1453860000000.0
q4p3b940,5+10,1453860000000.0,1453860000000.0
XXYEmj7z,5+10,1453860000000.0,1453860000000.0
zK5KFluZ,5+10,1453860000000.0,1453860000000.0
gmToa5R0,5+10,1453790000000.0,1453790000000.0
z3I3hrfZ,5+10,1453790000000.0,1453790000000.0
dCe6lbAe,5+10,1453790000000.0,1453790000000.0
QFtrCL0r,5+10,1453790000000.0,1453790000000.0
r3XYsW8V,5+10,1453790000000.0,1453790000000.0
JxEDfmXp,5+10,1453780000000.0,1453790000000.0
9I4A3mNA,5+10,1453780000000.0,1453780000000.0
NarEAPFD,5+10,1453780000000.0,1453780000000.0
xwe24qzw,5+10,1453780000000.0,1453780000000.0
31H4nPmU,5+10,1453780000000.0,1453780000000.0
5IV28PNB,5+10,1453780000000.0,1453780000000.0
u8QXbQAE,5+10,1453780000000.0,1453780000000.0
481yE95w,5+10,1453780000000.0,1453780000000.0
iA3o2tRj,5+10,1453780000000.0,1453780000000.0
WE7Koeln,5+10,1453780000000.0,1453780000000.0
fuGYeJHY,5+10,1453780000000.0,1453780000000.0
ZRwaZmgO,5+10,1453780000000.0,1453780000000.0
UDRVlwfc,5+10,1453780000000.0,1453780000000.0
PQKEjCvk,5+10,1453770000000.0,1453780000000.0
dGmgbEfj,5+10,1453770000000.0,1453770000000.0
sKHNjuvw,30+30,1459120000000.0,1459120000000.0
T0Naxo24,30+30,1458520000000.0,1458520000000.0
gjymvZn3,45+45,1457910000000.0,1457910000000.0
JiSFx1DV,45+45,1457220000000.0,1457230000000.0
dZsvIkKo,45+45,1456710000000.0,1456720000000.0
VZJSVm93,30+30,1456610000000.0,1456620000000.0
UxsGxw4G,15+0,1456110000000.0,1456110000000.0
T4MtDOZ4,7+8,1455590000000.0,1455590000000.0
1rgrAOyK,10+0,1465620000000.0,1465620000000.0
qqo1zmY8,30+0,1463890000000.0,1463890000000.0
RhLRiClg,5+8,1456110000000.0,1456110000000.0
20ZX90Rl,10+0,1459640000000.0,1459640000000.0
Fa7kFoDc,10+0,1459640000000.0,1459640000000.0
iNE1lale,15+0,1453920000000.0,1453930000000.0
mZyKbejU,10+12,1453710000000.0,1453710000000.0
8q00h3Zs,9+2,1453680000000.0,1453680000000.0
OceNb5kB,15+3,1453680000000.0,1453680000000.0
trOtBGm9,60+0,1464480000000.0,1464480000000.0
fmR041ga,35+10,1453690000000.0,1453690000000.0
WCto4iuw,18+20,1460880000000.0,1460880000000.0
ET9OGBAy,20+20,1460150000000.0,1460150000000.0
74I5VB7k,20+20,1459980000000.0,1459980000000.0
qnmkN1B0,20+20,1459720000000.0,1459720000000.0
53ffpR72,20+20,1459540000000.0,1459540000000.0
XUPh4332,20+20,1459460000000.0,1459460000000.0
4ScbZUkV,20+20,1459340000000.0,1459340000000.0
JOpUzUdE,20+20,1459340000000.0,1459340000000.0
5VyBXbbj,20+20,1459330000000.0,1459330000000.0
ZkrEEMsY,30+30,1459280000000.0,1459290000000.0
w2SzJVPz,30+30,1459200000000.0,1459200000000.0
dfhuzAaA,30+30,1459200000000.0,1459200000000.0
7yXtPQr1,20+20,1459080000000.0,1459090000000.0
PB5lRCU6,30+30,1458940000000.0,1458940000000.0
4fIwpNkz,30+30,1458770000000.0,1458770000000.0
z4OH5yBf,20+20,1458680000000.0,1458680000000.0
rfKzVY8x,8+8,1458660000000.0,1458660000000.0
bzSwCLW2,20+20,1458600000000.0,1458600000000.0
tYdEE0YW,11+0,1458590000000.0,1458590000000.0
V7WLWOdo,7+7,1458570000000.0,1458580000000.0
3MLx65NK,15+0,1458570000000.0,1458570000000.0
keVocdkQ,20+20,1458510000000.0,1458510000000.0
dyDPGGQF,15+0,1458510000000.0,1458510000000.0
u3HuYG0d,15+0,1458510000000.0,1458510000000.0
IdK61ztj,8+8,1458510000000.0,1458510000000.0
pGopU50l,10+0,1458510000000.0,1458510000000.0
NT7q676s,10+5,1458490000000.0,1458500000000.0
rDf7QFqe,10+5,1458490000000.0,1458490000000.0
np8N2iNw,10+5,1458490000000.0,1458490000000.0
90U1suS3,6+5,1458490000000.0,1458490000000.0
jmGRxiSC,6+5,1458480000000.0,1458490000000.0
Vx21Arnp,6+15,1458480000000.0,1458480000000.0
QdgfgewN,15+0,1458480000000.0,1458480000000.0
2dchJk4o,20+20,1458480000000.0,1458480000000.0
IL6oV7DA,19+20,1458470000000.0,1458470000000.0
IBvM8sD5,20+20,1458470000000.0,1458470000000.0
sUZVC1A5,20+20,1458460000000.0,1458470000000.0
m3PrB681,20+20,1458460000000.0,1458460000000.0
IqaLBVRm,20+20,1458460000000.0,1458460000000.0
dB8NJj6W,30+0,1458420000000.0,1458420000000.0
DmFreRj6,20+20,1458420000000.0,1458420000000.0
O3JrQkFE,5+8,1458420000000.0,1458420000000.0
ZxGyw2pn,15+0,1458400000000.0,1458400000000.0
IfxkGoYz,15+3,1478890000000.0,1478890000000.0
XoUyJm07,17+1,1453770000000.0,1453770000000.0
qbXm6cxG,25+1,1453000000000.0,1453000000000.0
W4vsJvbx,25+1,1453000000000.0,1453000000000.0
NcYIjf5n,11+1,1452910000000.0,1452910000000.0
CVD6qR2W,10+8,1453950000000.0,1453950000000.0
6yjjzId3,10+0,1503410000000.0,1503410000000.0
fD8VMA2g,10+0,1503410000000.0,1503410000000.0
X9YJPBeZ,20+5,1503330000000.0,1503330000000.0
cnnPYrIv,20+5,1503330000000.0,1503340000000.0
JSbaPsqC,20+5,1503330000000.0,1503340000000.0
JKkNREUW,15+0,1503320000000.0,1503320000000.0
w9b2tcka,20+20,1502450000000.0,1502450000000.0
NPAK2Ve8,20+20,1502450000000.0,1502450000000.0
SL1o1reb,20+20,1502450000000.0,1502450000000.0
1sBN2TI8,10+5,1502450000000.0,1502450000000.0
ifdMeHNS,20+25,1502450000000.0,1502450000000.0
Ic6srxxl,20+25,1502450000000.0,1502450000000.0
Ap73wrWv,20+5,1502450000000.0,1502450000000.0
UWFituyb,20+5,1502450000000.0,1502450000000.0
CfOx08mu,20+60,1502450000000.0,1502450000000.0
s7aFza1O,10+0,1502440000000.0,1502440000000.0
9dTUGknK,10+0,1501080000000.0,1501080000000.0
HmmpZqKg,10+0,1500710000000.0,1500710000000.0
6Zw2vsLa,10+0,1500710000000.0,1500710000000.0
5eHe0BrQ,10+0,1500700000000.0,1500700000000.0
QtNhbeGf,30+30,1499800000000.0,1499810000000.0
jCsNuxY4,10+5,1499800000000.0,1499800000000.0
gPYIuslN,10+2,1499800000000.0,1499800000000.0
UXAzyMAQ,25+10,1499790000000.0,1499800000000.0
j1GiolnH,25+10,1499790000000.0,1499790000000.0
qLPqCKIT,5+8,1481650000000.0,1481650000000.0
vsO4yWFW,5+8,1455140000000.0,1455140000000.0
qnhXn8XO,8+5,1460330000000.0,1460330000000.0
1qVNTz5L,15+10,1460240000000.0,1460240000000.0
U9rISFOP,10+15,1456360000000.0,1456360000000.0
7do8m0wz,30+0,1456280000000.0,1456280000000.0
ZCwd4MWm,30+150,1456280000000.0,1456280000000.0
Kr5u9mJu,20+0,1455930000000.0,1455940000000.0
hpKLDrAB,45+0,1453520000000.0,1453520000000.0
6qMX1ohP,15+5,1453520000000.0,1453520000000.0
ETJEWRgn,25+5,1453420000000.0,1453430000000.0
SUilwK4T,5+5,1459660000000.0,1459660000000.0
PBMCfE2c,5+8,1458080000000.0,1458080000000.0
9n9yEyUZ,15+10,1458030000000.0,1458030000000.0
YFiQl73O,10+0,1458020000000.0,1458020000000.0
vNkM2a7X,10+0,1458020000000.0,1458020000000.0
T1ByG02M,10+0,1458020000000.0,1458020000000.0
E0jM5PJK,15+0,1458020000000.0,1458020000000.0
GtaYRXbm,10+5,1458020000000.0,1458020000000.0
NTznP06n,14+8,1458020000000.0,1458020000000.0
JFoFVEub,10+5,1457670000000.0,1457680000000.0
kY0NwqMa,15+5,1457670000000.0,1457670000000.0
qMsiRfut,15+0,1456630000000.0,1456630000000.0
5P2mlvlV,10+0,1454560000000.0,1454560000000.0
SYk4nBQr,10+10,1453930000000.0,1453930000000.0
kmGMVu2H,15+0,1453930000000.0,1453930000000.0
E109AYg6,10+10,1453930000000.0,1453930000000.0
fh9mVD7Q,15+15,1451680000000.0,1451680000000.0
ChqE9t19,15+0,1450590000000.0,1450590000000.0
ZQG7q460,15+0,1450590000000.0,1450590000000.0
D0IR1Tkc,15+0,1450590000000.0,1450590000000.0
8EYPAUoe,15+0,1450590000000.0,1450590000000.0
V4dQrr1D,15+8,1450520000000.0,1450520000000.0
bFIZNE44,15+8,1450510000000.0,1450520000000.0
7szGCmj2,15+0,1450510000000.0,1450510000000.0
m61TlfwY,15+5,1450500000000.0,1450510000000.0
NIpJZ2u5,15+5,1450500000000.0,1450500000000.0
pNDRytNK,15+5,1450500000000.0,1450500000000.0
zXBA0Wzk,15+5,1450500000000.0,1450500000000.0
I7yjXmU5,15+0,1450490000000.0,1450490000000.0
3h05ADUh,15+0,1450490000000.0,1450490000000.0
U3bLEkKT,15+0,1450490000000.0,1450490000000.0
gTcYV4qg,15+0,1450490000000.0,1450490000000.0
qa3iESNk,10+0,1454000000000.0,1454000000000.0
COzIyGeD,10+0,1484840000000.0,1484840000000.0
BqsbfUpt,10+0,1484840000000.0,1484840000000.0
3mRl37kj,10+0,1484830000000.0,1484840000000.0
qe8R9dnY,10+0,1484830000000.0,1484830000000.0
fr3tsO2l,10+0,1484830000000.0,1484830000000.0
RDEhRYEf,10+0,1484830000000.0,1484830000000.0
1zfyE6gu,10+0,1484830000000.0,1484830000000.0
8Tx0TwVS,6+4,1484500000000.0,1484500000000.0
88wbCaFC,5+5,1481120000000.0,1481120000000.0
ocKoDVLi,5+5,1480080000000.0,1480080000000.0
5ZCYSVAc,5+5,1475770000000.0,1475770000000.0
3xUtXoB6,7+5,1475480000000.0,1475480000000.0
5Cm0iONs,5+5,1473950000000.0,1473950000000.0
fLyWyyEx,5+5,1473940000000.0,1473950000000.0
1bcGJ0VC,5+5,1473850000000.0,1473850000000.0
eYEfVMR5,5+5,1467240000000.0,1467240000000.0
jHBGmJEu,5+5,1460200000000.0,1460200000000.0
P9ZqTRkq,5+5,1460120000000.0,1460130000000.0
b1Z5y5jh,5+5,1460120000000.0,1460120000000.0
rWtgXur3,5+5,1458900000000.0,1458900000000.0
x3VsmBWq,10+0,1456670000000.0,1456670000000.0
EMNITM89,10+0,1456670000000.0,1456670000000.0
FRfqmQ3Y,10+0,1456420000000.0,1456420000000.0
eFAmvfs3,5+5,1456390000000.0,1456400000000.0
wM57KnJG,5+5,1456390000000.0,1456390000000.0
EiAbCtAi,10+0,1456150000000.0,1456150000000.0
4lfvmPkm,20+1,1472490000000.0,1472490000000.0
ghPlUNEq,20+1,1472490000000.0,1472490000000.0
HPRNUBT0,20+1,1472410000000.0,1472410000000.0
j7mQOC0W,25+3,1464170000000.0,1464170000000.0
ZlObZAev,25+3,1464160000000.0,1464160000000.0
ITvWiWWm,25+3,1463560000000.0,1463560000000.0
uEvWUkQE,25+3,1463420000000.0,1463430000000.0
81bZw6Ew,25+3,1463420000000.0,1463420000000.0
XtBGCGVE,25+3,1463420000000.0,1463420000000.0
YfkzkhMi,25+3,1463330000000.0,1463330000000.0
uIwH01CP,25+3,1463330000000.0,1463330000000.0
wm9t2Y1W,25+3,1463330000000.0,1463330000000.0
5HtAG3XB,25+3,1463250000000.0,1463250000000.0
rnu7BHUA,25+3,1463240000000.0,1463250000000.0
F1QFBUdV,25+3,1463160000000.0,1463160000000.0
9T4pTnNB,25+3,1463160000000.0,1463160000000.0
yROPZzpz,25+3,1463160000000.0,1463160000000.0
65YNBbH4,35+3,1463160000000.0,1463160000000.0
4WeRGu1r,35+3,1463130000000.0,1463130000000.0
dyN8RCxT,35+3,1462900000000.0,1462900000000.0
